ID (numéro dans url produit),"1 si le produit est actif, sinon 0 pour inactif",Nom du produit,Nom du produit,"id des catégories, le premier nom est la catégorie par défaut",Catégorie Principale,Famille,Prix HT,ID de la règle de taxe utilisée par le produit,Prix détail (TD),"1 si le produit est en solde, sinon 0",Montant en euro de la remise (TTC) (TTC),Montant en pourcentage de la remise,date de début pour la remise,date de fin pour la remise,Référence du produit,Référence du produit chez le fournisseur,Nom du fournisseur,Nom du fabricant (pas obligatoire),Code-barres EAN-13 ou JAN du produit,Code-barres UPC,écotaxe,Largeur (en cm),Hauteur (en cm),Profondeur (en cm),"Poids du produit (en kg)
Enfant : le plus haut
Adulte : une moyenne",quantité totale de produit,Quantité minimale,NE PAS REMPLIR Visibilité,Prix additionnel pour le transport,unité de mesure pour le prix unitaire,Prix unitaire HT,Résumé en HTML FR,Résumé en HTML EN,Description en HTML FR,Description en HTML EN,Mots clefs,Balise titre utilisés pour le référencement,Balise titre utilisés pour le référencement,Balise Mots clefs utilisés pour le référencement,Balise Mots clefs utilisés pour le référencement,Balise Meta description utilisés pour le référencement,Balise Meta description utilisés pour le référencement,URL simplifiée FR,URL simplifiée EN,texte utilisé sur la fiche produit lorsque le produit est en stock,texte utilisé sur la fiche produit lorsqu'il n'est pas disponible,"1 si le produit est disponible, 0 sinon",Date de disponibilité du produit,date d'ajout du produit,1 pour afficher le prix sinon 0,"urls des images produit séparé par une virgules, dans l'ordre des positions, la première image étant celle par défaut.",1 pour supprime les images du produit avant l'import sinon 0,Valeurs des caractéristiques du produit. FR,Valeurs des caractéristiques du produit. EN,1 pour indiquer que le produit est disponible uniquement en ligne,"indiquer l'état du produit : new (nouveau), used (utilisé), refurbished (reconditionné)",1 pour Activer la personnalisation sinon 0,Personnalisation : nombre de champs de mise en ligne de fichiers,Personnalisation : Champs de texte,Rupture de stock,ID de la boutique,Active la gestion avancé des stocks,Les quantités disponibles pour le produit actuel et ses déclinaisons sont basées sur le stock de votre entrepôt,Entrepôt,Couleurs,Colors,Fabriqué en,Made in,Matière,Material,Pointures,Sizes,,Utilisé pour la short description,,test url imgs,Type de produit UK,Type de produit FR,Idéal pour,Ideal for,Saison,Season,Description produit FR (caractéristiques),Description produit UK (caractéristiques),Description Couleurs FR,Description Couleurs Uk
Product ID,Active (0/1),Name *,Name *,"Categories (x,y,z...)",,,Price tax excluded or Price tax included,Tax rules ID,Wholesale price,On sale (0/1),Discount amount,Discount percent,Discount from (yyyy-mm-dd),Discount to (yyyy-mm-dd),Reference #,Supplier reference #,Supplier,Manufacturer,EAN13,UPC,Ecotax,Width,Height,Depth,Weight,Quantity,Minimal quantity,Visibility,Additional shipping cost,Unity,Unit price,Short description,Short description,Description longue,Description longue,"Tags (x,y,z...)",Meta title FR,Meta title EN,Meta keywords FR,Meta keywords EN,Meta description FR,Meta description EN,URL rewritten,URL rewritten,Text when in stock,Text when backorder allowed,"Available for order (0 = No, 1 = Yes)",Product available date,Product creation date,"Show price (0 = No, 1 = Yes)","Image URLs (x,y,z...)","Delete existing images (0 = No, 1 = Yes)",Feature(Nom:Valeur:Position),Feature(Name:Value:Position),"Available online only (0 = No, 1 = Yes)",Condition,"Customizable (0 = No, 1 = Yes)","Uploadable files (0 = No, 1 = Yes)","Text fields (0 = No, 1 = Yes)",Out of stock,ID / Name of shop,Advanced stock management,Depends On Stock,Warehouse,Couleurs FR,Colors EN,,,,,,,,,,,,,Lieux FR,Lieux UK,Saison FR,Season UK,,,,
Lien fiche produit (FR),Visibilité du produit,Désignation (FR),Désignation (EN),,,,,,,,,,,,Référence,,,,,,,,,,,,,,,,,Description (FR),Description (EN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Couleurs Eshop (FR),Couleurs Eshop (EN),Fabriqué en (FR),Fabriqué en (EN),Matière (FR),Matière (EN),Pointures (FR),Pointures (EN),,,,,,,,,,,,,,
15,1,Sun,Sun,"Sandales femme,Femme",Sandales femme,Femme,15,1,4.8,,,,,,SUN-FE,SUN,,Méduse,,,,,,,0.498,1,1,,,,,<p>Le modèle Sun est une paire de sandale pour les femmes de la marque Méduse disponible dans de nombreuses couleurs.</p>,<p>The Sun is a pair of women's sandal by Méduse available in many colors.</p>,"<p>Disponible de la taille 35 au 42 et dans de nombreuses couleurs, la sandale Sun pour les femmes est un modèle parfait pour la plage. Ces sandales possèdent un bout arrondi, des brides tressées et une semelle à picots.<br />Facile d'entretien, la sandale Sun vous donnera entièrement satisfaction pour la saison printemps/été.</p>","<p>Available from a size 35 to 42 in many colors, these women's Sun sandal are the perfect pair for the beach. These sandal have a rounded toe, braided straps and spiked sole.<br />Easy to maintain, the Sun sandal will be your perfect partner throughout the spring/summer.</p>",,Sandales Femme Sun,Sandals Women Sun,,,"Découvrez dès maintenant les sandales pour femmes Sun de la marque Méduse. Disponible dans de nombreuses couleurs, elles seront parfaites pour la plage.","Shop now the sandals for women Sun by Méduse. Available in many colors, they’ll be perfect for the beach.",sandales-femme-sun,sandals-women-sun,,,,,,1,https://cata.meduse.co/femmes/sandales/sun/,,"Fabriqué en:France:1,Matière:Pvc:2,Pointures:35 au 42:3,Saison:Printemps/Été:4,Idéal pour:la plage:5","Made in:France:1,Material:Pvc:2,Sizes:35 to 42:3,Season:Spring/Summer:4,Ideal for:the beach:5",0,,,,,,,,,,Argent pailleté; Bleu pastel; Bleu fluo; Bleu roy; Bronze; Canari; Carmin; Cobalt; Corail; Cristal; Doré pailleté; Fuchsia; Groseille; Lagon; Marine; Menthe; Nacre; Noir; Nuage; Paille; Parme; Rose fluo; Rose pailleté; Rose pastel; Saumon; Saumon pailleté; Silver; Translu; Vert d'eau; Vert pastel,"Glittery silver; Pastel blue; Neon blue; Royal blue; Bronze; Canary yellow; Carmine; Cobalt blue; Coral; Crystal; Glittery gold; Fuchsia; Redcurrant; Lagoon; Navy blue; Mint green; Pearl, Black; Cloud grey; Straw yellow; Parma; Neon pink; Glittery pink; Pastel pink; Salmon; Glittery salmon; Silver; Transluscent; Seafoam green; Pastel green",France,France,Pvc,Pvc,35 au 42,35 to 42,,Women,,https://cata.meduse.co/femmes/sandales/sun/sandales-femme-sun-{couleur}-cote.jpg,Sandal,Sandale,la plage,the beach,printemps/été,spring/summer,"un bout arrondi, des brides tressées et une semelle à picots","a rounded toe, braided straps and spiked sole",dans de nombreuses couleurs,in many colors
18,1,Sun,Sun,"Sandales homme,Homme",Sandales homme,Homme,15,1,5.1,,,,,,SUN-HO,SUN,,Méduse,,,,,,,0.544,1,1,,,,,<p>Le modèle Sun est une paire de sandale pour les hommes de la marque Méduse disponible dans de nombreuses couleurs.</p>,<p>The Sun is a pair of men's sandal by Méduse available in many colors.</p>,"<p>Disponible de la taille 39 au 48 et dans de nombreuses couleurs, la sandale Sun pour les hommes est un modèle parfait pour la plage. Ces sandales possèdent un bout arrondi, des brides tressées et une semelle à picots.<br />Facile d'entretien, la sandale Sun vous donnera entièrement satisfaction pour la saison printemps/été.</p>","<p>Available from a size 39 to 48 in many colors, these men's Sun sandal are the perfect pair for the beach. These sandal have a rounded toe, braided straps and spiked sole.<br />Easy to maintain, the Sun sandal will be your perfect partner throughout the spring/summer.</p>",,Sandales Homme Sun,Sandals Men Sun,,,"Découvrez dès maintenant les sandales pour hommes Sun de la marque Méduse. Disponible dans de nombreuses couleurs, elles seront parfaites pour la plage.","Shop now the sandals for men Sun by Méduse. Available in many colors, they’ll be perfect for the beach.",sandales-homme-sun,sandals-men-sun,,,,,,1,,,"Fabriqué en:France:1,Matière:Pvc:2,Pointures:39 au 48:3,Saison:Printemps/Été:4,Idéal pour:la plage:5","Made in:France:1,Material:Pvc:2,Sizes:39 to 48:3,Season:Spring/Summer:4,Ideal for:the beach:5",0,,,,,,,,,,Cobalt; Cristal; Marine; Noir; Translu,Cobalt blue; Crystal; Navy blue; Black; Transluscent,France,France,Pvc,Pvc,39 au 48,39 to 48,,Men,,,Sandal,Sandale,la plage,the beach,printemps/été,spring/summer,"un bout arrondi, des brides tressées et une semelle à picots","a rounded toe, braided straps and spiked sole",dans de nombreuses couleurs,in many colors
19,1,Sun,Sun,"Sandales enfant,Enfant",Sandales enfant,Enfant,10,1,3,,,,,,SUN-EN,SUN,,Méduse,,,,,,,0.319,1,1,,,,,<p>Le modèle Sun est une paire de sandale pour les enfants de la marque Méduse disponible dans de nombreuses couleurs.</p>,<p>The Sun is a pair of kids's sandal by Méduse available in many colors.</p>,"<p>Disponible de la taille 18 au 34 et dans de nombreuses couleurs, la sandale Sun pour les enfants est un modèle parfait pour la plage. Ces sandales possèdent un bout arrondi, des brides tressées et une semelle à picots.<br />Facile d'entretien, la sandale Sun vous donnera entièrement satisfaction pour la saison printemps/été.</p>","<p>Available from a size 18 to 34 in many colors, these kids's Sun sandal are the perfect pair for the beach. These sandal have a rounded toe, braided straps and spiked sole.<br />Easy to maintain, the Sun sandal will be your perfect partner throughout the spring/summer.</p>",,Sandales Enfant Sun,Sandals Kids Sun,,,"Découvrez dès maintenant les sandales pour enfants Sun de la marque Méduse. Disponible dans de nombreuses couleurs, elles seront parfaites pour la plage.","Shop now the sandals for kids Sun by Méduse. Available in many colors, they’ll be perfect for the beach.",sandales-enfant-sun,sandals-kids-sun,,,,,,1,,,"Fabriqué en:France:1,Matière:Pvc:2,Pointures:18 au 34:3,Saison:Printemps/Été:4,Idéal pour:la plage:5","Made in:France:1,Material:Pvc:2,Sizes:18 to 34:3,Season:Spring/Summer:4,Ideal for:the beach:5",0,,,,,,,,,,"Argent pailleté; Bleu pastel; Bleu roy; Bronze; Canari; Carmin; Cobalt; Corail; Cristal; Doré pailleté; Fuchsia; Groseille; Lagon; Magenta; Marine; Menthe; Noir; Nuage; Orange fluo; Parme; Rose fluo; Rose pailleté; Rose pastel; Saumon; Saumon pailleté; Silver; Translu; Vert d'eau; Vert pastel, Violet","Glittery silver; Pastel blue; Neon blue; Royal blue; Bronze; Canary yellow; Carmine; Cobalt blue; Coral; Crystal; Glittery gold; Fuchsia; Redcurrant; Lagoon; Navy blue; Mint green; Pearl, Black; Cloud grey; Straw yellow; Parma; Neon pink; Glittery pink; Pastel pink; Salmon; Glittery salmon; Silver; Transluscent; Seafoam green; Pastel green",France,France,Pvc,Pvc,18 au 34,18 to 34,,Kids,,,Sandal,Sandale,la plage,the beach,printemps/été,spring/summer,"un bout arrondi, des brides tressées et une semelle à picots","a rounded toe, braided straps and spiked sole",dans de nombreuses couleurs,in many colors
16,1,Capri,Capri,"Sandales femme,Femme",Sandales femme,Femme,20,1,7.6,,,,,,CAPRI-FE,CAPRI,,Méduse,,,,,,,0.456,1,1,,,,,<p>Le modèle Capri est une paire de sandale pour les femmes de la marque Méduse disponible dans de nombreuses couleurs.</p>,<p>The Capri is a pair of women's sandal by Méduse available in many colors.</p>,"<p>Disponible de la taille 36 au 40 et dans de nombreuses couleurs, la sandale Capri pour les femmes est un modèle parfait pour les journées ensoleillées. Ces sandales possèdent un quadrillage design.<br />Facile d'entretien, la sandale Capri vous donnera entièrement satisfaction pour la saison printemps/été.</p>","<p>Available from a size 36 to 40 in many colors, these women's Capri sandal are the perfect pair for the sunny days. These sandal have a grid design.<br />Easy to maintain, the Capri sandal will be your perfect partner throughout the spring/summer.</p>",,Sandales Femme Capri,Sandals Women Capri,,,"Découvrez dès maintenant les sandales pour femmes Capri de la marque Méduse. Disponible dans de nombreuses couleurs, elles seront parfaites pour les journées ensoleillées.","Shop now the sandals for women Capri by Méduse. Available in many colors, they’ll be perfect for the sunny days.",sandales-femme-capri,sandals-women-capri,,,,,,1,,,"Fabriqué en:France:1,Matière:Pvc:2,Pointures:36 au 40:3,Saison:Printemps/Été:4,Idéal pour:les journées ensoleillées:5","Made in:France:1,Material:Pvc:2,Sizes:36 to 40:3,Season:Spring/Summer:4,Ideal for:the sunny days:5",0,,,,,,,,,,Noir; Silver; Nacre; Rose pastel; Bronze,Black; Silver; Pearl; Pastel pink; Bronze,France,France,Pvc,Pvc,36 au 40,36 to 40,,Women,,,Sandal,Sandale,les journées ensoleillées,the sunny days,printemps/été,spring/summer,un quadrillage design,a grid design,dans de nombreuses couleurs,in many colors
17,1,Javana,Javana,"Sandales femme,Femme",Sandales femme,Femme,17.5,1,6.4,,,,,,JAVANA-FE,JAVANA,,Méduse,,,,,,,0.411,1,1,,,,,<p>Le modèle Javana est une paire de sandale pour les femmes de la marque Méduse disponible dans de nombreuses couleurs.</p>,<p>The Javana is a pair of women's sandal by Méduse available in many colors.</p>,"<p>Disponible de la taille 35 au 41 et dans de nombreuses couleurs, la sandale Javana pour les femmes est un modèle parfait pour les journées ensoleillées. Ces sandales possèdent un talon compensé.<br />Facile d'entretien, la sandale Javana vous donnera entièrement satisfaction pour la saison printemps/été.</p>","<p>Available from a size 35 to 41 in many colors, these women's Javana sandal are the perfect pair for the sunny days. These sandal have a wedge heel.<br />Easy to maintain, the Javana sandal will be your perfect partner throughout the spring/summer.</p>",,Sandales Femme Javana,Sandals Women Javana,,,"Découvrez dès maintenant les sandales pour femmes Javana de la marque Méduse. Disponible dans de nombreuses couleurs, elles seront parfaites pour les journées ensoleillées.","Shop now the sandals for women Javana by Méduse. Available in many colors, they’ll be perfect for the sunny days.",sandales-femme-javana,sandals-women-javana,,,,,,1,,,"Fabriqué en:France:1,Matière:Pvc:2,Pointures:35 au 41:3,Saison:Printemps/Été:4,Idéal pour:les journées ensoleillées:5","Made in:France:1,Material:Pvc:2,Sizes:35 to 41:3,Season:Spring/Summer:4,Ideal for:the sunny days:5",0,,,,,,,,,,Argent pailleté; Doré pailleté; Noir; Vert pailleté; Rose pailleté; Bleu pastel; Rose pastel; Vert pastel; Canari; Nacre; Orange fluo; Paille; Rose fluo; Saumon; Silver; Vert d'eau; Vert fluo,"Glittery silver; Glittery gold; Black; Glittery green, Glittery pink; Pastel blue; Pastel pink; Pastel green; Canary yellow; Pearl; Neon orange; Straw yellow; Neon pink; Salmon; Silver; Seafoam green; Neon green",France,France,Pvc,Pvc,35 au 41,35 to 41,,Women,,,Sandal,Sandale,les journées ensoleillées,the sunny days,printemps/été,spring/summer,un talon compensé,a wedge heel,dans de nombreuses couleurs,in many colors
23,1,Salsa,Salsa,"Sandales femme,Femme",Sandales femme,Femme,20,1,7.5,,,,,,SALSA-FE,SALSA,,Méduse,,,,,,,0.333,1,1,,,,,<p>Le modèle Salsa est une paire de sandale pour les femmes de la marque Méduse disponible dans de nombreuses couleurs.</p>,<p>The Salsa is a pair of women's sandal by Méduse available in many colors.</p>,"<p>Disponible de la taille 36 au 40 et dans de nombreuses couleurs, la sandale Salsa pour les femmes est un modèle parfait pour les journées ensoleillées. Ces sandales possèdent une forme simple et élégante.<br />Facile d'entretien, la sandale Salsa vous donnera entièrement satisfaction pour la saison printemps/été.</p>","<p>Available from a size 36 to 40 in many colors, these women's Salsa sandal are the perfect pair for the sunny days. These sandal have a simple and elegant shape.<br />Easy to maintain, the Salsa sandal will be your perfect partner throughout the spring/summer.</p>",,Sandales Femme Salsa,Sandals Women Salsa,,,"Découvrez dès maintenant les sandales pour femmes Salsa de la marque Méduse. Disponible dans de nombreuses couleurs, elles seront parfaites pour les journées ensoleillées.","Shop now the sandals for women Salsa by Méduse. Available in many colors, they’ll be perfect for the sunny days.",sandales-femme-salsa,sandals-women-salsa,,,,,,1,,,"Fabriqué en:France:1,Matière:Pvc:2,Pointures:36 au 40:3,Saison:Printemps/Été:4,Idéal pour:les journées ensoleillées:5","Made in:France:1,Material:Pvc:2,Sizes:36 to 40:3,Season:Spring/Summer:4,Ideal for:the sunny days:5",0,,,,,,,,,,Argent pailleté; Bleu pastel; Bonbon; Bronze; Cobalt; Corail; Doré pailleté; Fuchsia; Groseille; Nacre; Noir; Paille; Rose pailleté; Rose pastel; Saumon; Saumon pailleté; Silver; Vert d'eau; Vert pailleté; Vert pastel,"Glittery silver; Pastel blue; Bonbon; Bronze; Cobalt blue; Coral; Glittery gold; Fuchsia; Redcurrant; Pearl, Black; Straw yellow; Glittery pink; Pastel pink; Salmon; Glittery salmon; Silver; Seafoam green; Glittery green; Pastel green",France,France,Pvc,Pvc,36 au 40,36 to 40,,Women,,,Sandal,Sandale,les journées ensoleillées,the sunny days,printemps/été,spring/summer,une forme simple et élégante,a simple and elegant shape,dans de nombreuses couleurs,in many colors
52,1,Jutam,Jutam,"Sandales femme,Femme",Sandales femme,Femme,17.5,1,6.4,,,,,,JUTAM-FE,JUTAM,,Méduse,,,,,,,0.418,1,1,,,,,<p>Le modèle Jutam est une paire de sandale pour les femmes de la marque Méduse disponible dans de nombreuses couleurs.</p>,<p>The Jutam is a pair of women's sandal by Méduse available in many colors.</p>,"<p>Disponible de la taille 35 au 41 et dans de nombreuses couleurs, la sandale Jutam pour les femmes est un modèle parfait pour les journées ensoleillées. Ces sandales possèdent un quadrillage design.<br />Facile d'entretien, la sandale Jutam vous donnera entièrement satisfaction pour la saison printemps/été.</p>","<p>Available from a size 35 to 41 in many colors, these women's Jutam sandal are the perfect pair for the sunny days. These sandal have a grid design.<br />Easy to maintain, the Jutam sandal will be your perfect partner throughout the spring/summer.</p>",,Sandales Femme Jutam,Sandals Women Jutam,,,"Découvrez dès maintenant les sandales pour femmes Jutam de la marque Méduse. Disponible dans de nombreuses couleurs, elles seront parfaites pour les journées ensoleillées.","Shop now the sandals for women Jutam by Méduse. Available in many colors, they’ll be perfect for the sunny days.",sandales-femme-jutam,sandals-women-jutam,,,,,,1,,,"Fabriqué en:France:1,Matière:Pvc:2,Pointures:35 au 41:3,Saison:Printemps/Été:4,Idéal pour:les journées ensoleillées:5","Made in:France:1,Material:Pvc:2,Sizes:35 to 41:3,Season:Spring/Summer:4,Ideal for:the sunny days:5",0,,,,,,,,,,Marine; Fuchsia; Argent pailleté; Doré pailleté; Paille; Saumon; Vert d'eau,Navy blue; Fuchsia; Glittery silver; Glittery gold; Straw yellow; Salmon; Seafoam green,France,France,Pvc,Pvc,35 au 41,35 to 41,,Women,,,Sandal,Sandale,les journées ensoleillées,the sunny days,printemps/été,spring/summer,un quadrillage design,a grid design,dans de nombreuses couleurs,in many colors
54,1,Nikita,Nikita,"Sandales femme,Femme",Sandales femme,Femme,25,1,10.5,,,,,,NIKITA-FE,NIKITA,,Méduse,,,,,,,0.897,1,1,,,,,<p>Le modèle Nikita est une paire de sandale pour les femmes de la marque Méduse disponible dans de nombreuses couleurs.</p>,<p>The Nikita is a pair of women's sandal by Méduse available in many colors.</p>,"<p>Disponible de la taille 35 au 41 et dans de nombreuses couleurs, la sandale Nikita pour les femmes est un modèle parfait pour les journées ensoleillées. Ces sandales possèdent un talon.<br />Facile d'entretien, la sandale Nikita vous donnera entièrement satisfaction pour la saison printemps/été.</p>","<p>Available from a size 35 to 41 in many colors, these women's Nikita sandal are the perfect pair for the sunny days. These sandal have a heel.<br />Easy to maintain, the Nikita sandal will be your perfect partner throughout the spring/summer.</p>",,Sandales Femme Nikita,Sandals Women Nikita,,,"Découvrez dès maintenant les sandales pour femmes Nikita de la marque Méduse. Disponible dans de nombreuses couleurs, elles seront parfaites pour les journées ensoleillées.","Shop now the sandals for women Nikita by Méduse. Available in many colors, they’ll be perfect for the sunny days.",sandales-femme-nikita,sandals-women-nikita,,,,,,1,,,"Fabriqué en:France:1,Matière:Pvc:2,Pointures:35 au 41:3,Saison:Printemps/Été:4,Idéal pour:les journées ensoleillées:5","Made in:France:1,Material:Pvc:2,Sizes:35 to 41:3,Season:Spring/Summer:4,Ideal for:the sunny days:5",0,,,,,,,,,,Argent pailleté; Doré pailleté; Noir; Silver; Vert d'eau; Saumon,Glittery silver; Glittery gold; Black; Silver; Seafoam green; Salmon,France,France,Pvc,Pvc,35 au 41,35 to 41,,Women,,,Sandal,Sandale,les journées ensoleillées,the sunny days,printemps/été,spring/summer,un talon,a heel,dans de nombreuses couleurs,in many colors
